did,diagnose
"751","Tendonitistendon inflammation"
"752","Tenosynovitistendon sheath inflammation"
"753","Tension pneumothoraxdangerous lung collapse"
"754","Testicular cancertumor"
"755","Testicular torsiontwisting of testicle"
"756","Third cranial nerve disorderdisorder of eye movement"
"757","Thoracic outlet syndromenerve, blood vessel compression"
"758","Thrombocytopenialow platelet count"
"759","Thyroglossal duct cystneck cyst"
"760","Thyroiditisthyroid inflammation"
"761","Tick paralysistoxin from ticks"
"762","Tick borne encephalitisbrain infection"
"763","Tineafungal skin infection"
"764","laceration of toecut skin"
"765","Toe swelling"
"766","Tongue cancertumor"
"767","Tonsillar cancertumor tongue"
"768","Tonsillitistonsil infection"
"770","Toothache"
"771","Torticollis, spasmodicneck muscle spasm"
"772","Preeclampsiatoxemia of pregnancy"
"773","Toxic shock syndromelife-threatening bacterial infection complication"
"774","Toxoplasma infectionToxoplasmosisparasite infection"
"775","Transient ischemic attackTIA, reversible stroke"
"776","Transverse myelitisspinal cord inflammation"
"777","Trauma"
"778","Traumatic nerve injury"
"780","Trichinella spiralis infectiontrichinosis, parasitic infection from undercooked pork"
"781","Trichomonas vaginalis infectionvaginal infection"
"782","Trigeminal neuralgiafacial nerve pain"
"783","Tuberculosis infectionTB"
"784","Tubo ovarian abscesspelvic abscess"
"785","Ear drum rupturetympanic membrane rupture"
"786","Typhoid feversalmonella typhi infection from contaminated food or water"
"788","Ulcerative colitislarge intestine inflammation"
"789","Unstable anginapre heart attack chest pain"
"790","Upper respiratory tract infectionURI, common cold"
"791","Ureaplasma urealyticum infectiongenital infection"
"792","Urethritisinfection of urethra"
"793","Bladder infectioncystitis, UTI, urinary tract infection"
"794","Urinary tract malformation"
"795","Urine retentioninability to urinate"
"796","Urticariahives"
"797","Uterine prolapseuterine vaginal protrusion"
"798","Uterine ruptureuterine tear during childbirth"
"799","Uveitisiritis, eye inflammation"
"800","Vaccination"
"801","Vaginal atrophyatrophic vaginitis"
"802","Vaginal cancertumor"
"803","Vaginal foreign body"
"805","Vaginitisvaginal infection inflammation"
"807","Varicoceletesticular vein enlargement"
"808","Blood vessel headachefamilial basilar artery migraine headache"
"809","Vascular insufficiency due to peripheral artery diseasePAD, claudication, inadequate blood flow"
"810","Vasculitisinflammation of the arteries"
"811","Vasovagal syncopefainting"
"812","Vertebral artery dissectionneck artery tear"
"813","Vertebral fracturebroken back or neck bone"
"814","Vertebral- basilar artery insufficiencyinadequate blood flow to the back of the brainvertebro-basilar insufficiency"
"815","Vertebral-basilar strokestroke in the back of the brainVertebro basilar insufficiency"
"816","Vertigospinning sensation"
"817","Vesicovaginal fistulaconnection between the bladder and vagina"
"818","Vestibular neuronitislabyrinthitis, vertigo"
"819","Vibrio parahaemolyticus infectionbacterial infection from shellfish"
"820","Rattlesnakepit viper bite"
"821","Viral hemorrhagic feversEbola, Lassa"
"822","Viral infections"
"823","Vitiligoloss of skin pigment"
"824","Vocal cord nodulegrowth on the vocal cords"
"825","Vocal cord paralysisvoice box weakness"
"826","Volvulustwisted intestine"
"827","Vulvar squamous cell carcinomaskin cancer on female genitalia"
"828","Waldenström macroglobulinemiablood cell disease"
"829","WarfarinCoumadin, Jantoven overdose"
"830","WarfarinCoumadin use"
"832","Wegener's granulomatosisgranulomatosis with polyangiitis,  blood vessel disease"
"833","West Nile virus infectionmosquito-transmitted illness"
"834","Whiplash injuryneck injury"
"835","White coat hypertensionelevated blood pressure at doctor's office"
"836","Whooping coughpertussis"
"837","Windshield wiper fluidMethanol poisoning"
"838","Wolff Parkinson White syndromeWPW, additional electrical pathway in the heart"
"841","Yellow feverviral hemorrhagic fever"
"842","Zenker's diverticulumpharyngeal pouch, weakening of the esophageal wall"
"848","Seizureabnormal brain electrical activity"
"849","Pilonidal cystfluid filled sac on tailbone"
"851","Essential tremorabnormal rhythmic shaking"
"852","Lymphomalymph node cancer"
"853","Osgood Schlatter diseasepainful shinbone inflammation"
"854","Nasal foreign bodyunnatural object in the nose"
"855","Respiratory syncytial virusRSV, pediatric respiratory infection"
"856","Hodgkin's diseasecancer of the lymph system"
"857","Autism spectrum disorderASD"
"858","Polymyalgia rheumaticaPMR, muscle and joint disorder"
"859","Swine FluH1N1 Influenza"
"860","Fifth diseaseerythema infectiosum, viral illness"
"861","Sagittal sinus thrombosisvenous blood clot in the brain"
"862","Cervical spine stenosisnarrowing of spinal canal"
"863","Cervical myelopathyspinal cord compression"
"864","Spinal cord tumor"
"865","Brachial plexus injuryshoulder nerve injury"
"866","Brain arteriovenous malformationblood vessel abnormality in the brain, AVMArteriovenous malformation of brain"
"867","Carotid artery stenosisneck artery narrowing"
"868","Meningiomabrain tumor"
"869","Astrocytomabrain tumor"
"870","Hydrocephalusbrain fluid build-up"
"872","Central cord syndrometraumatic spine injury"
"873","Cerebral aneurysmbrain artery dilation"
"874","Pseudotumor cerebriincreased pressure in the skull"
"875","HIV AIDSHuman Immunodeficiency Virus, Acquired Immune Deficiency SyndromeHuman immunodeficiency virus [HIV] disease"
"876","Endocarditisheart valve infection"
"877","Acnepimples"
"878","Attention deficit hyperactivity disorderADHD"
"879","Allergic conjunctivitisallergic reaction in the eye"
"881","Teeth grindingbruxism"
"882","Chemical burn"
"883","Chicken poxvaricella virus"
"884","Cradle capinfant scalp rash"
"885","Croupupper airway inflammation"
"887","Dyslexiareading disorder"
"890","Psoriasisscaly skin disease"
"891","Asperger's syndromeautism spectrum disorder"
"892","Methicillin-resistant Staphylococcus aureusMRSA, type of bacteria"
"893","Staphylococcus aureustype of bacteria"
"894","Failure to thrive - childFailure to thrive-childFailure to thrive (child)"
"895","Hemochromatosisexcess iron disorder"
"896","Impetigobacterial skin infection"
"897","Inhaled foreign bodyin respiratory tract"
"898","Jaundiceyellow skin color"
"899","Keratosis pilariscommon skin condition"
"900","Head lice"
"901","Body lice"
"902","Pubic lice"
"903","Wilsons diseasecopper accumulation in tissues"
"904","Rocky mountain spotted feverbacterial infection spread by ticks"
"905","Erysipelasbacterial skin infection"
"906","Cat scratch feverbacterial infection after cat scratch"
"907","Coccidiomycosisvalley fever, fungal infection"
"908","Meconium aspirationnewborn respiratory problem"
"909","Neurofibromatosisinherited nerve tumors"
"910","Night terrorsnightmares"
"911","Pinwormscommon intestinal worm"
"912","Reyes syndromerare liver and brain swelling"
"913","Mongolian spotsblue birthmark"
"914","Rheumatic fevercomplication of strep infection"
"915","Rhinitisnasal inflammation"
"916","Ringworm of the scalptinea capitis"
"917","Ringworm of the bodytinea corporis"
"918","RubellaGerman measles"
"920","Scabiesskin disease caused by mites"
"921","Atrial flutterirregular heart rate"
"922","Pepto Bismol or Kaopectate ingestionbismuth"
"923","Long QT Syndromeinherited heart condition"
"924","Coronary artery anomalyheart artery malformation"
"925","StrokeCVA, cerebrovascular accident"
"926","Subconjunctival hemorrhageblood covering white part of the eye"
"927","Sleep apneachronic sleep disruption"
"929","Myotoniaimpaired muscle relaxation"
"930","Carbuncle"
"931","Melanomaskin cancer"
"932","Cat bite"
"933","Dog bite"
"934","Muscle spasmcharley horse"
"935","Hyperosmolar hyperglycemic stateseverely elevated glucose level"
"937","Tetanuslockjaw"
"938","Tourette syndromerepetitive involuntary movements, vocalizations"
"939","Umbilical herniabelly button hernia"
"940","Common warts"
"941","Transient global amnesiasudden period of short-term memory loss"
"943","Osteoporosisextremely thin bone"
"944","Bird fluavian influenza"
"946","Cubital tunnel syndromenerve compression in the elbow"
"947","Foot fracturebroken foot"
"948","Ankle fracturebroken ankle"
"949","Histoplasmosisfungal infection"
"950","Tick bite"
"951","Q feverflu-like bacterial illness"
"952","Broken heart syndromeTakotsubo cardiomyopathy"
"953","Whipple's diseaserare bacterial infection of the small intestine"
"954","Near drowning"
"955","Clostridium difficileC. Diff"
"956","Sea lice bite"
"958","Ascitesfluid in the abdomen"
"960","Sunburn"
"961","Sun poisoning"
"962","Cystic fibrosisinherited disease of lungs, digestive system"
"963","Sever's diseasecalcaneal apophysitis, common cause of heel pain"
"964","Panhypopituitarismpituitary gland malfunction"
"965","Down syndromecommon genetic disorder"
"966","Hair lossalopecia"
"967","Vaginal yeastfungal infection"
"968","Ricketschildhood bone disease"
"969","Alzheimer's diseasedementia"
"971","Human papillomavirus infectionHPV"
"972","Erectile dysfunctionED"
"973","Congenital heart diseaseheart defect at birth"
"974","Lumbar spinal stenosisspinal cord compression"
"975","Stomach cancergastric cancer"
"977","Molesnevi"
"978","Idiopathic thrombocytopenia purpuraITP, low platelets"
"979","Thrombotic thrombocytopenia purpuraTTP, rare blood disorderThrombotic thrombocytopenic purpura"
"981","Ventricular tachycardiaVT, dangerous irregular heart beat"
"982","Cardiac arrestheart stops"
"983","Frostbitetissue damage from cold"
"984","Trench footimmersion foot"
"985","Skin blood vessel damageChilblains, pernio"
"986","Gangrenedeath of body tissue"
"987","Food poisoning"
"988","Lactose intolerance"
"989","Raynaud's diseaseblood vessel constriction"
"990","Muscular dystrophyinherited muscle disease"
"991","Diverticulosisweakening of the large intestine wall"
"992","Graves' diseaseoverproduction of thyroid hormone"
"993","EmphysemaCOPD, lung disease"
"994","Amyotrophic lateral sclerosisALS, Lou Gehrig's disease"
"997","Sarcoidosisinflammatory disease"
"999","Folliculitishair follicle infection"
"1000","Boilpus-filled lump"
"1001","Angioedemaswelling of skin, lips, eyes"
"1002","Hot tub follicullitishair follicle infectionPustular folliculitis"
"1003","Detached retinaretinal detachment"
"1004","Posterior vitreous detachmentcommon eye abnormality"
"1007","Thyroid cancerneck gland cancer"
"1008","Coronary artery diseaseCAD, heart disease"
"1009","Double diabeteshybrid diabetes"
"1011","Birth control pill use"
"1012","Toe fracture"
"1013","Finger fracturebroken finger"
"1014","Hand fracturebroken hand"
"1015","Scaphoid fracturebroken hand bone"
"1016","Clavicle fracturebroken collar bone"
"1017","Valvular heart diseaseabnormal heart valves"
"1018","Aortic regurgitationleaking heart valve"
"1019","Mitral stenosistight heart valve"
"1020","Mitral regurgitationleaking heart valve"
"1022","Cataractsclouding of the eye lens"
"1024","ThalassemiaMediterranean anemia, inherited blood disorder"
"1025","Iron deficiency anemialow red blood cell count"
"1026","Hemolytic anemiared blood cell destruction disorder"
"1027","Pterygiumgrowth on the eye"
"1029","Pernicious anemiavitamin deficiency blood disorder"
"1030","Addison's diseaseadrenal insufficiency"
"1032","Heart attackacute myocardial infarction, AMI"
"1033","Sclerodermaprogressive hardening of soft tissue"
"1034","Medication reaction"
"1035","Myxedema comaseverely low thyroid hormone"
"1036","Bed bugs"
"1037","Athlete's foottinea pedis"
"1038","Early menopausepremature ovarian failure"
"1039","Carcinoid syndromeflushing, diarrhea"
"1040","Mayer Rokitansky Küster Hauser syndromeMRKH, inherited vaginal abnormality"
"1041","Obesity"
"1043","Hyperparathyroidismelevated parathyroid hormone levels"
"1044","Cauliflower earwrestlers ear"
"1045","Muscle tear"
"1046","Gastroparesisstomach muscle malfunction"
"1047","Scalded skin syndromeblistering skin infection"
"1049","Colon polypslarge intestine tumors"
"1050","Loffler's syndromepulmonary eosinophilia, lung inflammation"
"1051","Methemoglobinemiablood disorder"
"1052","Amaurosis fugaxmomentary vision loss in one eye"
"1053","Tendon lacerationtendon cut"
"1054","Foreign body in a wound"
"1055","Wound infectioncut infection"
"1056","Blood vessel injury"
"1057","Hidradenitis suppurativachronic collections of pus"
"1059","Spleen injurysplenic rupture"
"1060","Liver injuryliver trauma"
"1061","Radiation exposureradiation sickness"
"1062","Marfan syndromerare inherited disease"
"1063","Tape worm infection"
"1064","Teething"
"1065","Rabiesdeadly viral illness transmitted by animals"
"1066","Toxic megacolonrapid dilation of the colon"
"1067","Basal cell carcinomaskin cancer"
"1068","Skin tagsacrochordons"
"1069","Pneumocystis pneumoniaPCP, fungal lung infection"
"1073","Compression fracturebroken spinal bone"
"1075","Hypersensitivity pneumonitisallergic lung disease"
"1076","Mucormycosisfungal infection"
"1077","Interstitial lung diseasechronic scarring of the lung"
"1078","Flea bite"
"1079","Ingrown nailonychocryptosis"
"1080","Porphyriarare disorder of skin, nervous system"
"1081","Gilbert's diseaseliver abnormality"
"1082","Goodpasture syndromedisease of kidneys and lungs"
"1083","Newborn jaundicenewborn skin discoloration"
"1084","Ankle sprain"
"1090","Chikungunyaviral illness from mosquitoes"
"1091","Japanese encephalitisviral brain infection"
"1093","Brucellosisbacterial infection spread from animals"
"1095","Post herpetic neuralgianerve pain after shingles"
"1096","Psoriatic arthritisjoint pain and stiffness"
"1097","Flat feetpes planus"
"1098","Heel spur"
"1099","Lewy body dementiacommon type of dementia"
"1100","Facial nerve paralysis"
"1102","Macular degenerationchronic eye disease"
"1103","Pyomyositismuscle infection"
"1106","Synovitisinflammation of joint lining"
"1108","Diabetic retinopathydiabetic eye disease"
"1111","Aspiration pneumonialung inflammation or infection"
"1112","Hepatic encephalopathyconfusion from liver failure"
"1113","Pemphigusrare skin disorder"
"1114","Diabetes insipidusexcessive water loss from the kidneys"
"1115","Ventral herniabulging of the abdominal wall"
"1116","Listeriaserious bacterial illness"
"1118","Shin splintstibial stress syndrome"
"1119","Sarcomasoft tissue cancer"
"1121","Bone cancerbone tumor"
"1124","Mastocytosisurticaria pigmentosa, skin disease"
"1125","Jellyfish stings"
"1129","Hemolytic uremic syndromeHUS, red blood cell destruction, kidney disease"
"1132","Triangular fibrocartilage complex injurywrist injury"
"1133","Multiple myelomablood cancer"
"1134","Miller Fisher Syndromerare nerve disease"
"1135","Aponeurotic ptosisage-related drooping eyelid"
"1136","Complex migrainemigraine with neurologic changes"
"1138","Reflex sympathetic dystrophycomplex pain syndrome"
"1140","Golfer's elbowmedial epicondylitis of elbow"
"1141","Small cell lung cancer"
"1144","Bullous myringitismiddle ear infection"
"1145","Chronic venous insufficiencyweakened leg veins"
"1147","Diabetic neuropathynerve damage"
"1148","Diabetic nephropathydiabetes and kidney disease"
"1151","Dysthymiadepression, dysthymic disorder"
"1154","Lymphedemalymphatic obstruction"
"1155","Tension headachestress headache"
"1157","Pneumoconiosislung disease"
"1166","Varicose veins"
"1169","Diabetes mellitus type 1elevated blood sugar"
"1170","Viral exanthemrash from viral infection"
"1177","Foreign body in ear"
"1184","Actinic keratosisAK, skin growth"
"1186","Molluscum contagiosum"
"1196","Eustachian tube dysfunctioninner ear tube"
"1199","Phimosis"
"1201","Lumbar spondylosisspine arthritis"
"1211","Muscle and ligament inflammationenthesopathy"
"1245","Male pattern hair losshereditary-patterned baldnessAndrogenic alopecia"
"1247","Male infertility"
"1249","Scleritisinflammation of the eye"
"1251","Abdominal adhesionsscar tissue"
"1253","Chondromalaciacartilage damage"
"1255","Focal seizurepartial seizure"
"1257","Generalized seizure disordergeneralized epilepsy"
"1259","Peyronie's diseaseabnormal curvature of the penis"
"1261","Mycoplasma infectionbacteria"
"1263","Duodenal cancersmall intestine"
"1265","Small bowel cancersmall intestine"
"1267","Gallbladder cancer"
"1269","Essential thrombocythemiaexcessive blood platelets"
"1271","Thyroid cyst"
"1273","Herpanginamouth blisters"
"1275","Ewing's sarcomacancer"
"1277","Extragonadal germ cell tumors"
"1279","Fallopian tube cancer"
"1281","Familial dysautonomiagenetic disorder"
"1283","Farsightednesshyperopia/hypermetropia"
"1285","Food allergy"
"1287","Foot sprain"
"1289","Foot ulcer"
"1291","Fragile X syndromegenetic disorder"
"1293","Friedreich's Ataxiagenetic disorder"
"1295","Gallbladder and bile duct cancerGallbladder cancerbile duct cancer"
"1297","Glomerulonephritiskidney disease"
"1299","Graves eye diseaseGraves ophthalmopathy"
"1301","Head injury in childrenNon-accidental traumatic head injury to child"
"1303","Hemorrhagic strokeCVA, cerebrovascular accident"
"1305","Hepatitis A"
"1307","Excessive hair growthHirsutism"
"1309","Huntington diseasechorea"
"1311","Hyperkeratosisskin thickening"
"1315","Lacunar stroke"
"1317","Langerhans cell histiocytosisHistiocytosis X"
"1319","Large cell lung cancer"
"1321","Malignant Mesothelioma"
"1323","Melasmacholoasma"
"1325","Morton's neuroma"
"1329","Neuroblastoma"
"1331","Paget disease of the bonepaget's disease of the bone"
"1333","Parathyroid cancer"
"1335","PhenylketonuriaPKU"
"1337","Paraphimosis"
"1339","Polyarteritis NodosaPAN"
"1345","Post-polio syndrome"
"1347","Posterior cruciate ligament injuriesPCL injuryRupture of posterior cruciate ligamentSprain of posterior cruciate ligament of knee"
"1349","Presbyopiaaging vision"
"1351","Rectocele"
"1353","Retinitis pigmentosa"
"1355","Retinoblastomapediatric eye cancer"
"1357","Retrobulbar Neuritis"
"1359","Shoulder sprain"
"1361","Squamous cell lung cancer"
"1363","Takayasu's arteritisGiant cell arteritis of the young"
"1365","Tay-Sachs disease"
"1367","Tear duct infectionDacryocystitis"
"1369","Thrombophlebitissuperficial"
"1373","Traumatic hip dislocationtraumatic dislocation of hip"
"1375","Traveler's diarrheaMontezuma's revenge"
"1379","Tropical sprue"
"1381","Wilms' Tumor"
"1383","Wrist sprain"
"1385","Yaws"
"1387","Amyloidosis"
"1389","Arnold Chiari malformation"
"1393","Broken jawmandible fracture"
"1395","Conversion disorder"
"1397","Strabismuscrossed eyes"
"1399","Decompression sicknessbends, caisson's disease"
"1403","Delusional disorder"
"1405","Dermatofibroma"
"1409","Fibromuscular dysplasiaFMD"
"1415","Hypoparathyroidism"
"1417","Ichthyosis"
"1421","Keloidovergrown scar"
"1423","Broken legleg fracture"
"1425","Prediabeteshigh blood sugar"
"1429","Subluxation"
"1431","Vitamin D deficiency"
"1433","Supraventricular tachycardiaSVT"
"1435","Traumatic brain injury"
"1437","Testicular hypofunction"
"1439","Von Willebrand's disease"
"1441","Lymphadenitis"
"1443","Drug withdrawal syndrome"
"1445","Stuttering"
"1449","Tic Disorder"
"1451","Conduct disorder"
"1453","Charcot-Marie-Tooth disease"
"1455","Neutropenia"
"1457","Greater trochanteric bursitiship bursitis"
"1461","Turner syndromegonadal dysgenesis"
"1463","Pancytopenia"
"1467","Cerebellar Ataxia"
"1469","Complex partial seizurespsychomotor epilepsy"
"1471","Meralgia Paresthetica"
"1473","Retinopathy"
"1475","Corneal ulcer"
"1479","Blocked tear ductdacryostenosis"
"1483","Aphakia"
"1487","Bacterial tracheitis"
"1489","Trigger finger"
"1493","Glossitis"
"1495","Anal fistula"
"1497","Urethral stricture"
"1501","Pemphigoid"
"1503","Scar"
"1505","Finger amputation"
"1509","Hydronephrosis"
"1511","Night blindnessnyctalopia"
"1513","Scurvyvitamin C deficiency"
"1515","Beriberithiaminevitamin B1 deficiency"
"1517","Cutaneous T cell lymphoma"
"1519","Cardiomegalyenlarged heart"
"1521","Developmental delay"
"1523","Breast cyst"
"1525","Ductal carcinoma in situDCIS, breast cancer"
"1527","Missed abortion"
"1529","Triple negative breast cancer"
"1531","Invasive ductal carcinoma"
"1533","Invasive lobular carcinoma"
"1535","Dystonia"
"1537","Failure to thrive - adultfailure to thrive"
